node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
0,False,1.0,3.1950256908438237,0.0,0.5,3.5555555555555554,7,20,180,320
1,False,1.0,3.2456723356017645,0.0,0.5,3.5555555555555554,7,20,180,320
2,False,1.0,2.868599625901258,0.0,0.5,3.5555555555555554,7,20,180,320
3,False,1.0,3.0607623398970354,0.0,0.5,3.5555555555555554,7,20,180,320
4,False,1.0,1.7532463138229788,0.0,0.5,3.5555555555555554,7,20,180,320
5,False,1.0,2.2759499791300524,0.0,0.5,3.5555555555555554,7,20,180,320
6,False,1.0,2.5572174211341046,0.0,0.5,3.5555555555555554,7,20,180,320
7,False,1.0,1.8720619407263075,0.0,0.5,3.5555555555555554,7,20,180,320
8,False,1.0,2.8702110200221402,0.0,0.5,3.5555555555555554,7,20,180,320
9,False,1.0,3.175446007299221,0.0,0.5,3.5555555555555554,7,20,180,320
10,False,1.0,3.6778616469742738,0.0,0.5,3.5555555555555554,7,20,180,320
11,False,1.0,2.8753371867788977,0.0,0.5,3.5555555555555554,7,20,180,320
12,False,1.0,1.8077916531444342,0.0,0.5,3.5555555555555554,7,20,180,320
13,False,1.0,2.517402524482218,0.0,0.5,3.5555555555555554,7,20,180,320
14,False,1.0,3.0588083256984224,0.0,0.5,3.5555555555555554,7,20,180,320
15,False,1.0,2.1171593143315897,0.0,0.5,3.5555555555555554,7,20,180,320
16,False,1.0,1.7806475781010789,0.0,0.5,3.5555555555555554,7,20,180,320
17,False,1.0,3.687748845213167,0.0,0.5,3.5555555555555554,7,20,180,320
18,False,1.0,2.4335709126502336,0.0,0.5,3.5555555555555554,7,20,180,320
19,False,1.0,2.119202667473611,0.0,0.5,3.5555555555555554,7,20,180,320
20,False,0.0,2.66112526724325,0.0,0.5,3.5555555555555554,7,20,180,320
21,False,0.0,2.261318993552795,0.0,0.5,3.5555555555555554,7,20,180,320
22,False,0.0,1.972671061624394,0.0,0.5,3.5555555555555554,7,20,180,320
23,False,1.0,2.884443782015841,0.0,0.5,3.5555555555555554,7,20,180,320
24,False,1.0,1.2946304585992314,0.0,0.5,3.5555555555555554,7,20,180,320
25,False,0.0,3.3199803199610565,0.0,0.5,3.5555555555555554,7,20,180,320
